Genre,Name,Platform,Publisher,Year,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank
Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,2005,9.26,20.22,4.16,4.75,2.05,20
Role-Playing,Pokemon Diamond/Pokemon Pearl,DS,Nintendo,2006,4.52,18.36,6.04,6.42,1.37,21
Platform,Super Mario Land,GB,Nintendo,1989,2.71,18.14,4.18,10.83,0.42,22
Platform,Super Mario Bros. 3,NES,Nintendo,1988,3.44,17.28,3.84,9.54,0.46,23
Action,Grand Theft Auto V,X360,Take-Two Interactive,2013,5.31,16.38,0.06,9.63,1.38,24
Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,2002,5.49,16.15,0.47,8.41,1.78,25
Role-Playing,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,2002,3.9,15.85,5.38,6.06,0.5,26
Role-Playing,Pokemon Black/Pokemon White,DS,Nintendo,2010,3.28,15.32,5.65,5.57,0.82,27
Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,2005,5.36,15.3,5.32,3.44,1.18,28
Racing,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,2001,5.09,14.98,1.87,6.85,1.16,29
Shooter,Call of Duty: Modern Warfare 3,X360,Activision,2011,4.28,14.76,0.13,9.03,1.32,30
Role-Playing,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,1998,5.04,14.64,3.12,5.89,0.59,31
Shooter,Call of Duty: Black Ops,X360,Activision,2010,3.73,14.64,0.11,9.67,1.13,32
Role-Playing,Pokemon X/Pokemon Y,3DS,Nintendo,2013,4.05,14.35,4.34,5.17,0.79,33
Shooter,Call of Duty: Black Ops 3,PS4,Activision,2015,5.81,14.24,0.35,5.77,2.31,34
Shooter,Call of Duty: Black Ops II,PS3,Activision,2012,5.88,14.03,0.65,4.99,2.52,35
Shooter,Call of Duty: Black Ops II,X360,Activision,2012,4.3,13.73,0.07,8.25,1.12,36
Shooter,Call of Duty: Modern Warfare 2,X360,Activision,2009,3.63,13.51,0.08,8.52,1.29,37
Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,2011,5.82,13.46,0.49,5.54,1.62,38
Action,Grand Theft Auto III,PS2,Take-Two Interactive,2001,4.51,13.1,0.3,6.99,1.3,39
Fighting,Super Smash Bros. Brawl,Wii,Nintendo,2008,2.61,13.04,2.66,6.75,1.02,40
Shooter,Call of Duty: Black Ops,PS3,Activision,2010,4.44,12.73,0.48,5.98,1.83,41
Simulation,Animal Crossing: Wild World,DS,Nintendo,2005,3.52,12.27,5.33,2.55,0.88,42
Racing,Mario Kart 7,3DS,Nintendo,2011,3.91,12.21,2.67,4.74,0.89,43
Shooter,Halo 3,X360,Microsoft Game Studios,2007,2.83,12.14,0.13,7.97,1.21,44
Action,Grand Theft Auto V,PS4,Take-Two Interactive,2014,5.81,11.98,0.36,3.8,2.02,45
Action,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,2009,2.77,11.9,3.96,4.4,0.77,46
Platform,Super Mario 64,N64,Nintendo,1996,2.85,11.89,1.91,6.91,0.23,47
Racing,Gran Turismo 4,PS2,Sony Computer Entertainment,2004,0.01,11.66,1.1,3.01,7.53,48
Platform,Super Mario Galaxy,Wii,Nintendo,2007,3.4,11.52,1.2,6.16,0.76,49
Role-Playing,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,2014,3.37,11.33,3.08,4.23,0.65,50
Adventure,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,1992,2.04,11.18,2.69,6.16,0.29,51
Action,Grand Theft Auto IV,X360,Take-Two Interactive,2008,3.1,11.02,0.14,6.76,1.03,52
Racing,Gran Turismo,PS,Sony Computer Entertainment,1997,3.87,10.95,2.54,4.02,0.52,53
Platform,Super Mario 3D Land,3DS,Nintendo,2011,2.99,10.79,2.13,4.89,0.78,54
Racing,Gran Turismo 5,PS3,Sony Computer Entertainment,2010,4.88,10.77,0.81,2.96,2.12,55
Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,2009,3.69,10.69,0.38,4.99,1.63,56
Action,Grand Theft Auto IV,PS3,Take-Two Interactive,2008,3.76,10.57,0.44,4.76,1.62,57
Platform,Super Mario All-Stars,SNES,Nintendo,1993,2.15,10.55,2.12,5.99,0.29,58
Role-Playing,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,2004,2.65,10.49,3.15,4.34,0.35,59
Platform,Super Mario 64,DS,Nintendo,2004,3.11,10.42,1.25,5.08,0.98,60
Misc,Just Dance 3,Wii,Ubisoft,2011,3.15,10.26,0,6.05,1.07,61
Shooter,Call of Duty: Ghosts,X360,Activision,2013,2.63,10.21,0.04,6.72,0.82,62
Shooter,Halo: Reach,X360,Microsoft Game Studios,2010,1.98,9.88,0.08,7.03,0.78,63
Racing,Mario Kart 64,N64,Nintendo,1996,1.94,9.87,2.23,5.55,0.15,64
Platform,New Super Mario Bros. 2,3DS,Nintendo,2012,3.07,9.82,2.47,3.66,0.63,65
Shooter,Halo 4,X360,Microsoft Game Studios,2012,2.36,9.76,0.04,6.63,0.73,66
Role-Playing,Final Fantasy VII,PS,Sony Computer Entertainment,1997,2.47,9.72,3.28,3.01,0.96,67
Shooter,Call of Duty: Ghosts,PS3,Activision,2013,3.73,9.59,0.38,4.09,1.38,68
Misc,Just Dance 2,Wii,Ubisoft,2010,2.89,9.52,0.01,5.84,0.78,69
Racing,Gran Turismo 2,PS,Sony Computer Entertainment,1999,3.42,9.49,1.69,3.88,0.5,70
Shooter,Call of Duty 4: Modern Warfare,X360,Activision,2007,2.38,9.32,0.13,5.91,0.9,71
Platform,Donkey Kong Country,SNES,Nintendo,1994,1.71,9.3,3,4.36,0.23,72
Misc,Minecraft,X360,Microsoft Game Studios,2013,2.83,9.2,0.02,5.58,0.77,73
Simulation,Animal Crossing: New Leaf,3DS,Nintendo,2012,2.32,9.09,4.36,2.01,0.41,74
Misc,Mario Party DS,DS,Nintendo,2007,1.88,9.02,1.98,4.46,0.7,75
Role-Playing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,2011,2.86,8.84,0.1,5.03,0.85,76
Racing,Super Mario Kart,SNES,Nintendo,1992,1.24,8.76,3.81,3.54,0.18,77
Sports,FIFA 16,PS4,Electronic Arts,2015,6.06,8.49,0.06,1.11,1.26,78
Misc,Wii Party,Wii,Nintendo,2010,3.53,8.49,2.49,1.79,0.68,79
Shooter,Halo 2,XB,Microsoft Game Studios,2004,1.53,8.49,0.05,6.82,0.08,80
Misc,Mario Party 8,Wii,Nintendo,2007,2.3,8.42,1.58,3.81,0.73,81
Role-Playing,Pokemon Black 2/Pokemon White 2,DS,Nintendo,2012,1.86,8.33,3.14,2.91,0.43,82
Action,FIFA Soccer 13,PS3,Electronic Arts,2012,5.05,8.24,0.13,1.06,2.01,83
Simulation,The Sims 3,PC,Electronic Arts,2009,6.42,8.11,0,0.98,0.71,84
Shooter,GoldenEye 007,N64,Nintendo,1997,2.01,8.09,0.13,5.8,0.15,85
Sports,Mario & Sonic at the Olympic Games,Wii,Sega,2007,3.9,8.06,0.66,2.58,0.91,86
Role-Playing,Final Fantasy X,PS2,Sony Computer Entertainment,2001,2.07,8.05,2.73,2.91,0.33,87
Role-Playing,Final Fantasy VIII,PS,SquareSoft,1999,1.72,7.86,3.63,2.28,0.23,88
Role-Playing,Pokémon Platinum Version,DS,Nintendo,2008,1.78,7.84,2.69,2.82,0.55,89
Puzzle,Pac-Man,2600,Atari,1982,0.45,7.81,0,7.28,0.08,90
Action,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,2005,2.83,7.72,0.24,2.9,1.75,91
Platform,Super Mario Galaxy 2,Wii,Nintendo,2010,2.42,7.69,0.98,3.66,0.64,92
Shooter,Star Wars Battlefront (2015),PS4,Electronic Arts,2015,3.29,7.67,0.22,2.93,1.23,93
Shooter,Call of Duty: Advanced Warfare,PS4,Activision,2014,3.3,7.6,0.14,2.8,1.37,94
Action,The Legend of Zelda: Ocarina of Time,N64,Nintendo,1998,1.89,7.6,1.45,4.1,0.16,95
Platform,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,1997,2.17,7.58,1.31,3.78,0.31,96
Platform,Super Mario Bros. 2,NES,Nintendo,1988,1.18,7.46,0.7,5.39,0.19,97
Fighting,Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,2014,1.35,7.45,2.42,3.24,0.43,98
Shooter,Call of Duty: World at War,X360,Activision,2008,1.9,7.37,0,4.79,0.69,99
Shooter,Battlefield 3,X360,Electronic Arts,2011,2.13,7.34,0.06,4.46,0.69,100
Action,The Legend of Zelda: Twilight Princess,Wii,Nintendo,2006,2.19,7.31,0.6,3.83,0.7,101
Shooter,Call of Duty: Black Ops 3,XOne,Activision,2015,2.09,7.3,0.01,4.52,0.67,102
Misc,Just Dance,Wii,Ubisoft,2009,3.03,7.27,0,3.51,0.73,103
Shooter,Battlefield 3,PS3,Electronic Arts,2011,2.93,7.23,0.35,2.85,1.1,104
Racing,Need for Speed Underground,PS2,Electronic Arts,2003,2.83,7.2,0.08,3.27,1.02,105
Fighting,Tekken 3,PS,Sony Computer Entertainment,1998,2.22,7.16,1.4,3.27,0.29,106
Platform,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,1998,1.75,7.13,1.42,3.68,0.28,107
Fighting,Super Smash Bros. Melee,GC,Nintendo,2001,1.04,7.07,1.39,4.41,0.22,108
Racing,Mario Kart 8,WiiU,Nintendo,2014,2.07,6.96,1.27,3.13,0.49,109
Role-Playing,Fallout 4,PS4,Bethesda Softworks,2015,3.15,6.96,0.24,2.47,1.1,110
Racing,Mario Kart: Double Dash!!,GC,Nintendo,2003,1.77,6.95,0.87,4.12,0.19,111
Misc,Just Dance 4,Wii,Ubisoft,2012,2.21,6.91,0,4.14,0.56,112
Sports,FIFA 14,PS3,Electronic Arts,2013,4.32,6.9,0.07,0.78,1.73,113
Racing,Need for Speed Underground 2,PS2,Electronic Arts,2004,3.02,6.9,0.08,2.71,1.09,114
Shooter,Medal of Honor: Frontline,PS2,Electronic Arts,2002,2.75,6.83,0.17,2.93,0.99,115
Action,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,2011,2.8,6.83,0.19,2.77,1.06,116
Platform,Crash Bandicoot,PS,Sony Computer Entertainment,1996,2.35,6.82,0.94,3.23,0.3,117
Sports,Zumba Fitness,Wii,505 Games,2010,2.64,6.81,0,3.5,0.67,118
Shooter,Gears of War 2,X360,Microsoft Game Studios,2008,1.92,6.76,0.06,4.15,0.64,119
Action,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,2009,2.25,6.73,0.21,3.27,1,120
Shooter,Call of Duty 4: Modern Warfare,PS3,Activision,2007,2.3,6.72,0.28,3.1,1.04,121
Sports,FIFA 12,PS3,Electronic Arts,2011,4.32,6.69,0.11,0.84,1.42,122
Misc,Big Brain Academy,DS,Nintendo,2005,2.78,6.67,1.6,1.67,0.62,123
Action,Red Dead Redemption,PS3,Take-Two Interactive,2010,2.61,6.6,0.17,2.79,1.03,124
Sports,FIFA 15,PS4,Electronic Arts,2014,4.29,6.59,0.05,0.79,1.47,125
Platform,Donkey Kong Country Returns,Wii,Nintendo,2010,1.84,6.59,1.03,3.25,0.47,126
Role-Playing,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,2011,2.71,6.56,0.25,2.55,1.05,127
Action,The Legend of Zelda,NES,Nintendo,1986,0.93,6.51,1.69,3.74,0.14,128
Action,Assassin's Creed III,PS3,Ubisoft,2012,2.56,6.5,0.16,2.64,1.14,129
Shooter,Halo: Combat Evolved,XB,Microsoft Game Studios,2001,1.3,6.43,0.08,4.98,0.07,130
Role-Playing,Pokémon Emerald Version,GBA,Nintendo,2004,1.58,6.41,2.06,2.57,0.21,131
Role-Playing,Kingdom Hearts,PS2,Sony Computer Entertainment,2002,1.2,6.4,1.49,3.64,0.07,132
Role-Playing,Pokémon Crystal Version,GB,Nintendo,2000,1.56,6.39,1.29,2.55,0.99,133
Shooter,Halo 3: ODST,X360,Microsoft Game Studios,2009,1.35,6.36,0.06,4.34,0.61,134
Action,Red Dead Redemption,X360,Take-Two Interactive,2010,1.97,6.34,0.09,3.7,0.57,135
Platform,Super Mario Sunshine,GC,Nintendo,2002,1.26,6.31,0.87,4.01,0.17,136
Fighting,Street Fighter II: The World Warrior,SNES,Capcom,1992,0.83,6.3,2.87,2.47,0.12,137
Role-Playing,World of Warcraft,PC,Activision,2004,6.21,6.28,0,0.07,0,138
Action,Driver,PS,GT Interactive,1999,2.8,6.27,0.02,3.11,0.33,139
Sports,Kinect Sports,X360,Microsoft Game Studios,2010,1.78,6.24,0.03,3.92,0.51,140
Shooter,Gears of War 3,X360,Microsoft Game Studios,2011,1.62,6.24,0.07,4.05,0.49,141
Shooter,Gears of War,X360,Microsoft Game Studios,2006,1.9,6.11,0.07,3.54,0.6,142
Action,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,2001,2.01,6.05,0.87,2.45,0.72,143
Platform,Sonic the Hedgehog 2,GEN,Sega,1992,1.2,6.03,0.16,4.47,0.19,144
Action,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,2008,1.74,6.03,0.83,2.63,0.83,145
Action,Metal Gear Solid,PS,Konami Digital Entertainment,1998,1.83,6.03,0.78,3.18,0.24,146
Action,The Last of Us,PS3,Sony Computer Entertainment Europe,2013,2.28,5.99,0.28,2.41,1.01,147
Role-Playing,Final Fantasy XII,PS2,Square Enix,2006,0,5.95,2.33,1.88,1.74,148
Platform,LittleBigPlanet,PS3,Sony Computer Entertainment,2008,2.05,5.92,0.17,2.8,0.9,149
Role-Playing,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,2009,0.69,5.84,4.35,0.66,0.15,150
Action,LEGO Star Wars: The Complete Saga,Wii,LucasArts,2007,1.63,5.83,0,3.66,0.53,151
Action,Resident Evil 2,PS,Virgin Interactive,1998,1.47,5.82,2.02,1.88,0.45,152
Fighting,Tekken 2,PS,Sony Computer Entertainment,1996,1.89,5.74,1.36,2.26,0.23,153
Simulation,Cooking Mama,DS,505 Games,2006,1.94,5.72,0.07,3.13,0.58,154
Shooter,Destiny,PS4,Activision,2014,2.05,5.65,0.16,2.49,0.96,155
Puzzle,Tetris,NES,Nintendo,1988,0.69,5.58,1.81,2.97,0.11,156
Action,Assassin's Creed II,PS3,Ubisoft,2009,1.95,5.57,0.21,2.54,0.87,157
Fighting,Super Smash Bros.,N64,Nintendo,1999,0.6,5.55,1.97,2.95,0.04,158
Adventure,Assassin's Creed,X360,Ubisoft,2007,1.65,5.55,0.07,3.28,0.55,159
Action,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,2011,1.91,5.53,0.11,2.7,0.8,160
Racing,Forza Motorsport 3,X360,Microsoft Game Studios,2009,1.92,5.51,0.1,2.99,0.51,161
Role-Playing,Monster Hunter Freedom Unite,PSP,Capcom,2008,0.57,5.5,4.13,0.47,0.34,162
Platform,Super Mario Advance,GBA,Nintendo,2001,1.24,5.49,0.91,3.14,0.2,163
Racing,Mario Kart: Super Circuit,GBA,Nintendo,2001,1.64,5.47,0.99,2.62,0.23,164
Platform,Super Mario World,GBA,Nintendo,2001,1.11,5.46,0.95,3.21,0.2,165
Strategy,Pokemon Stadium,N64,Nintendo,1999,1.24,5.45,0.94,3.18,0.09,166
Shooter,Call of Duty: World at War,PS3,Activision,2008,1.87,5.43,0,2.72,0.84,167
Platform,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,2001,2.29,5.42,0.24,2.07,0.82,168
Misc,Minecraft,PS3,Sony Computer Entertainment,2014,2.51,5.42,0,1.97,0.94,169
Role-Playing,Final Fantasy XIII,PS3,Square Enix,2009,1.24,5.36,1.87,1.74,0.52,170
Puzzle,Dr. Mario,GB,Nintendo,1989,0.96,5.34,2,2.18,0.2,171
Misc,Pokemon Pinball,GB,Nintendo,1999,1.12,5.31,1.01,3.02,0.16,172
Action,Assassin's Creed III,X360,Ubisoft,2012,1.71,5.3,0.03,3.13,0.44,173
Role-Playing,Final Fantasy IX,PS,SquareSoft,2000,0.77,5.3,2.78,1.62,0.14,174
Role-Playing,Final Fantasy X-2,PS2,Electronic Arts,2003,1.08,5.29,2.11,1.92,0.17,175
Platform,Donkey Kong 64,N64,Nintendo,1999,0.79,5.27,1.09,3.33,0.06,176
Action,Assassin's Creed II,X360,Ubisoft,2009,1.56,5.27,0.08,3.1,0.51,177
Puzzle,Professor Layton and the Curious Village,DS,Nintendo,2007,2.48,5.26,1.03,1.22,0.52,178
Action,Tomb Raider II,PS,Eidos Interactive,1997,2.46,5.24,0.2,2.3,0.28,179
Sports,Madden NFL 2004,PS2,Electronic Arts,,0.26,5.23,0.01,4.26,0.71,180
Role-Playing,Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,2004,0.75,5.21,3.61,0.65,0.2,181
Role-Playing,Diablo III,PC,Activision,2012,2.15,5.2,0,2.43,0.62,182
Platform,Super Mario Bros. 3,GBA,Nintendo,2003,1.25,5.2,0.83,2.93,0.2,183
Platform,New Super Mario Bros. U,WiiU,Nintendo,2012,1.3,5.19,1.27,2.32,0.31,184
Platform,Super Mario Land 3: Wario Land,GB,Nintendo,1994,0.98,5.19,1.57,2.49,0.15,185
Action,FIFA Soccer 13,X360,Electronic Arts,2012,3.48,5.18,0.03,1.08,0.58,186
Action,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,2007,1.83,5.17,0.95,1.9,0.49,187
Platform,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,1995,0.74,5.15,2.2,2.1,0.11,188
Simulation,Tomodachi Life,3DS,Nintendo,2013,2.02,5.15,1.89,0.96,0.28,189
Sports,Mario & Sonic at the Olympic Games,DS,Sega,2008,2.48,5.14,0.44,1.64,0.58,190
Shooter,Medal of Honor: Rising Sun,PS2,Electronic Arts,2003,2.23,5.13,0.13,1.98,0.8,191
Platform,Kirby's Dream Land,GB,Nintendo,1992,0.61,5.13,1.7,2.71,0.11,192
Role-Playing,Fable III,X360,Microsoft Game Studios,2010,1.11,5.13,0.05,3.59,0.38,193
Shooter,Call of Duty: Advanced Warfare,XOne,Activision,2014,1.53,5.13,0.01,3.21,0.38,194
Simulation,Microsoft Flight Simulator,PC,Microsoft Game Studios,1996,1.69,5.12,0,3.22,0.2,195
Misc,Guitar Hero II,PS2,RedOctane,2006,0.63,5.12,0,3.81,0.68,196
Action,Resident Evil 5,PS3,Capcom,2009,1.43,5.11,1.08,1.96,0.65,197
Action,Grand Theft Auto V,XOne,Take-Two Interactive,2014,2.01,5.08,0,2.66,0.41,198
Action,Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,2006,2.02,5.08,0.16,1.7,1.21,199
Sports,FIFA Soccer 11,PS3,Electronic Arts,2010,3.29,5.08,0.06,0.6,1.13,200
Platform,Super Mario Bros.,GB,Nintendo,1999,1.3,5.07,0.15,3.4,0.22,201
Action,Resident Evil,PS,Virgin Interactive,1996,1.16,5.05,1.11,2.05,0.73,202
Sports,Tony Hawk's Pro Skater,PS,Activision,1999,1.38,5.02,0.02,3.42,0.2,203
Fighting,Super Smash Bros. for Wii U and 3DS,WiiU,Nintendo,2014,1.06,5.02,0.8,2.59,0.57,204
Strategy,Warzone 2100,PS,Eidos Interactive,1999,1.89,5.01,0,2.79,0.33,205
Platform,Spyro the Dragon,PS,Sony Computer Entertainment,1998,1.36,5,0.07,3.36,0.21,206
Shooter,Link's Crossbow Training,Wii,Nintendo,2007,1.18,5,0.29,3.06,0.46,207
Misc,Guitar Hero III: Legends of Rock,PS2,Activision,2007,0.01,4.98,0.01,3.49,1.48,208
Role-Playing,Fallout 3,X360,Bethesda Softworks,2008,1.03,4.96,0.09,3.39,0.44,209
Role-Playing,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Nintendo,2007,1.2,4.96,1.54,1.85,0.37,210
Action,Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,2007,1.73,4.94,0.12,2.31,0.78,211
Sports,Madden NFL 06,PS2,Electronic Arts,2005,0.26,4.91,0.01,3.98,0.66,212
Action,LEGO Star Wars: The Complete Saga,DS,LucasArts,2007,1.54,4.9,0,2.89,0.46,213
Racing,Diddy Kong Racing,N64,Nintendo,1997,0.99,4.88,0.89,2.91,0.1,214
Role-Playing,Monster Hunter Freedom 3,PSP,Capcom,2010,0,4.87,4.87,0,0,215
Puzzle,Dr. Mario,NES,Nintendo,1990,0.6,4.85,1.52,2.62,0.1,216
Action,God of War III,PS3,Sony Computer Entertainment,2010,1.36,4.84,0.12,2.74,0.63,217
Strategy,StarCraft II: Wings of Liberty,PC,Activision,2010,1.68,4.83,0,2.56,0.59,218
Adventure,Assassin's Creed,PS3,Ubisoft,2007,2,4.83,0.09,1.91,0.83,219
Sports,FIFA 15,PS3,Electronic Arts,2014,3.14,4.82,0.04,0.57,1.07,220
Racing,Crash Team Racing,PS,Sony Computer Entertainment,1999,1.57,4.79,0.44,2.57,0.21,221
Sports,FIFA 17,PS4,Electronic Arts,2016,3.75,4.77,0.06,0.28,0.69,222
Action,Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,2011,1.31,4.76,0.04,2.99,0.41,223
Action,Driver 2,PS,Atari,2000,2.1,4.73,0.02,2.36,0.25,224
Racing,The Simpsons: Hit & Run,PS2,Vivendi Games,2003,2.19,4.7,0,1.73,0.79,225
Sports,Tony Hawk's Pro Skater 2,PS,Activision,2000,1.41,4.68,0.02,3.05,0.2,226
Simulation,Animal Crossing: City Folk,Wii,Nintendo,2008,1.12,4.68,1.32,1.87,0.37,227
Action,The Lord of the Rings: The Two Towers,PS2,Electronic Arts,2002,1.95,4.67,0.08,1.94,0.7,228
Racing,Forza Motorsport 4,X360,Microsoft Game Studios,2011,2.04,4.64,0.06,2.08,0.47,229
Action,Tomb Raider,PS,Eidos Interactive,1996,1.97,4.63,0.13,2.29,0.24,230
Misc,Guitar Hero III: Legends of Rock,Wii,Activision,2007,1.12,4.62,0,3.06,0.44,231
Action,The Legend of Zelda: A Link to the Past,SNES,Nintendo,1991,0.91,4.61,1.15,2.42,0.13,232
Action,The Legend of Zelda: The Wind Waker,GC,Nintendo,2002,0.99,4.6,0.89,2.6,0.13,233
Sports,Mario & Sonic at the Olympic Winter Games,Wii,Sega,2009,1.99,4.58,0.22,1.89,0.48,234
Action,Luigi's Mansion: Dark Moon,3DS,Nintendo,2013,1.39,4.58,1.1,1.78,0.3,235
Shooter,Splatoon,WiiU,Nintendo,2015,1.15,4.57,1.44,1.55,0.43,236
Action,The Last of Us,PS4,Sony Computer Entertainment,2014,1.87,4.55,0.07,1.78,0.82,237
Misc,Guitar Hero III: Legends of Rock,X360,Activision,2007,0.92,4.53,0.01,3.19,0.42,238
Sports,Madden NFL 2005,PS2,Electronic Arts,2004,0.26,4.53,0.01,4.18,0.08,239
Platform,Pitfall!,2600,Activision,1981,0.24,4.5,0,4.21,0.05,240
Sports,Madden NFL 07,PS2,Electronic Arts,2006,0.24,4.49,0.01,3.63,0.61,241
Action,Spider-Man: The Movie,PS2,Activision,2002,1.51,4.48,0.03,2.71,0.23,242
Role-Playing,Dragon Quest VII: Warriors of Eden,PS,Enix Corporation,2000,0.14,4.47,4.1,0.2,0.02,243
Action,Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,2015,1.69,4.47,0.08,1.96,0.74,244
Shooter,Call of Duty: Advanced Warfare,PS3,Activision,2014,1.94,4.45,0.19,1.54,0.77,245
Action,God of War,PS2,Sony Computer Entertainment,2005,1.29,4.45,0.02,2.71,0.43,246
Misc,Nintendo Land,WiiU,Nintendo,2012,1.11,4.44,0.46,2.55,0.33,247
Misc,Michael Jackson: The Experience,Wii,Ubisoft,2010,1.35,4.42,0.01,2.67,0.39,248
Sports,Tony Hawk's Pro Skater 3,PS2,Activision,2001,1.29,4.41,0.01,2.66,0.46,249
Sports,Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami Digital Entertainment,2006,2.39,4.39,1.05,0.1,0.86,250
Role-Playing,The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,2006,1.05,4.39,0.13,2.82,0.4,251
Adventure,Zelda II: The Adventure of Link,NES,Nintendo,1987,0.5,4.38,1.61,2.19,0.08,252
Racing,Need for Speed: Most Wanted,PS2,Electronic Arts,2005,1.79,4.37,0.08,2.03,0.47,253
Shooter,Resistance: Fall of Man,PS3,Sony Computer Entertainment,2006,1.73,4.35,0.14,1.73,0.75,254
Platform,Sonic the Hedgehog,GEN,Sega,1991,0.91,4.34,0.26,3.03,0.13,255
Role-Playing,Kingdom Hearts II,PS2,Square Enix,2005,0.58,4.33,1.38,2.2,0.17,256
Sports,FIFA 14,X360,Electronic Arts,2013,2.93,4.31,0.01,0.92,0.46,257
Shooter,Call of Duty: Advanced Warfare,X360,Activision,2014,1.18,4.31,0,2.75,0.37,258
Shooter,Asteroids,2600,Atari,1980,0.26,4.31,0,4,0.05,259
Role-Playing,Fable II,X360,Microsoft Game Studios,2008,1.27,4.31,0.11,2.51,0.41,260
Shooter,Halo 5: Guardians,XOne,Microsoft Game Studios,2015,1.2,4.26,0.03,2.64,0.39,261
Platform,Super Mario 3D World,WiiU,Nintendo,2013,1.11,4.25,0.72,2.11,0.3,262
Action,Batman: Arkham Asylum,PS3,Eidos Interactive,2009,1.34,4.25,0.07,2.23,0.61,263
Action,Assassin's Creed: Revelations,PS3,Ubisoft,2011,2.02,4.24,0.1,1.41,0.72,264
Misc,Namco Museum,GBA,Namco Bandai Games,2001,1.11,4.24,0.05,3,0.07,265
